Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC,1,Battery,
"C1, C13, C14, C2, C23, C26, C5",0402,7,0.1uF,
"C15, C4",0402,2,1uF,
C16,0402,1,47nF,
"C17, C18, C6",0603,3,22uF,
C19,0402,1,4.7uF,
"C20, C21, C22",0603,3,10uF,
D1,LED_D5.0mm,1,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Display,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Tranceiver Data,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Tranceiver Boot/Rst,
L4,L_6.3x6.3_H3,1,2.2uH,
Q1,SOT-23,1,AO3401A,
"R1, R2",THB001P_CNK,2,THB001P,
"R10, R16, R17, R18, R21, R3, R5, R6, R7, R8, R9",0402,11,10K,
"R11, R12, R15",0402,3,5.1K,
R13,0402,1,5.2K,
R14,0402,1,30.1K,
R19,0402,1,200,
R22,0402,1,5.5K,
"R25, R26",0402,2,27,
"R27, R4",0402,2,100,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Reset,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,Boot,
SW3,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
SW4,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,BTN_1,
SW5,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,BTN_2,
TH1,0402,1,Thermistor,
U1,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
