Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RESET",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
C1,0402,1,47nF,
"C10, C11",0402,2,3.3pF,
"C12, C14, C15, C16, C17, C21, C4, C5",0402,8,0.1uF,
C13,0402,1,4.7uF,
"C18, C19, C3, C6",0603,4,1uF,
C2,0402,1,47pF,
C20,0603,1,10uF,
"C22, C25",0402,2,8.2pF,
"C23, C24",0402,2,15uF,
C7,0402,1,470nF,
C8,0402,1,1nF,
C9,0402,1,39pF,
"D1, D2",0603,2,LED,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J3,SMA_Amphenol_901-144_Vertical,1,Conn_Coaxial,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,0402,1,47nH,
L2,0603,1,15uH,
L3,0402,1,9.1nH,
R1,0402,1,100,
"R2, R3",0402,2,2K,
R4,0402,1,10K,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOT-363_SC-70-6,1,PE4259,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32U585CIUx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Q13FC13500004,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
