Designator,Mid X,Mid Y,Rotation,Layer
BT1,143.2,-115.0,0.0,bottom
C1,124.52,-131.0,180.0,top
C13,118.245,-151.9,0.0,top
C14,168.32,-151.85,0.0,top
C15,129.18,-149.0,180.0,top
C16,127.7,-145.02,270.0,top
C17,122.0,-127.975,270.0,top
C18,123.975,-132.25,180.0,top
C19,127.28,-146.5,180.0,top
C2,123.25,-127.52,270.0,top
C20,134.4,-141.675,90.0,top
C21,132.075,-140.9,0.0,top
C22,132.075,-142.4,0.0,top
C23,161.8,-131.4,90.0,top
C26,161.8,-128.8,90.0,top
C4,181.45,-141.955,90.0,top
C5,179.9,-123.855,90.0,top
C6,181.15,-123.225,90.0,top
D1,127.13,-156.2,180.0,top
J1,135.88,-156.925,0.0,top
J2,153.02,-150.535,0.0,top
J3,84.7,-119.75,270.0,top
J4,143.05,-91.55,180.0,top
J5,132.05,-91.55,180.0,top
L4,126.6,-138.9,90.0,top
Q1,127.7875,-133.35,180.0,top
R1,92.3892,-95.752099,270.0,top
R10,148.17,-140.405,270.0,top
R11,134.58,-151.06,90.0,top
R12,137.655,-151.06,90.0,top
R13,135.7,-143.81,270.0,top
R14,136.8,-143.81,90.0,top
R15,128.4,-151.99,270.0,top
R16,172.3,-123.9,270.0,top
R17,171.3,-123.9,270.0,top
R18,134.71,-147.1,180.0,top
R19,135.09,-145.5,0.0,top
R2,192.3892,-95.752499,270.0,top
R21,135.7,-141.31,90.0,top
R22,136.8,-141.3,270.0,top
R25,166.69,-132.75,180.0,top
R26,166.68,-133.75,0.0,top
R27,139.75,-135.5,0.0,top
R3,182.65,-141.95,90.0,top
R4,140.25,-131.0,90.0,top
R5,155.845,-140.57,270.0,top
R6,154.745,-140.57,270.0,top
R7,153.52,-140.57,270.0,top
R8,151.395,-140.455,270.0,top
R9,149.295,-140.42,270.0,top
SW1,168.2,-149.55,0.0,top
SW2,118.2,-149.55,0.0,top
SW3,143.1975,-133.55,90.0,top
TH1,143.25,-127.0,180.0,bottom
U1,131.05,-145.8375,90.0,top
U3,128.2,-126.9,180.0,top
U6,178.15,-132.85,270.0,top
