Designator,Mid X,Mid Y,Rotation,Layer
BOOT,152.9,-109.4,270.0,top
C1,129.95,-108.42,90.0,top
C10,133.22,-99.9,180.0,top
C11,134.75,-97.42,90.0,top
C12,138.5,-116.5875,180.0,top
C13,138.489949,-115.0875,270.0,top
C14,148.389949,-110.2875,0.0,top
C15,148.089949,-108.7875,0.0,top
C16,148.48,-116.0,0.0,top
C17,140.3,-107.5625,90.0,top
C18,139.0,-106.9875,90.0,top
C19,150.189949,-107.3875,90.0,top
C2,130.95,-108.42,90.0,top
C20,148.989949,-112.3875,270.0,top
C21,150.6,-101.98,90.0,top
C22,140.389949,-105.2075,90.0,top
C23,148.789949,-107.1875,270.0,top
C24,145.089949,-104.6875,90.0,top
C25,145.0,-106.9875,90.0,top
C3,149.075,-122.993749,0.0,top
C4,130.7,-110.42,90.0,top
C5,135.22,-115.9,0.0,top
C6,149.075,-117.193749,0.0,top
C7,130.25,-115.7,180.0,top
C8,136.6,-104.4,270.0,top
C9,133.7,-101.42,90.0,top
D1,147.9,-97.1025,270.0,top
D2,146.2,-97.1125,270.0,top
FL1,133.45,-107.0,90.0,top
J1,140.35,-121.0,180.0,top
J2,129.35,-121.0,180.0,top
J3,140.0,-99.0,0.0,top
J4,153.2,-117.27,0.0,top
L1,132.45,-108.9,0.0,top
L2,132.7,-115.6,180.0,top
L3,133.7,-98.415,90.0,top
R1,135.6,-104.41,90.0,top
R2,148.12,-99.19,180.0,top
R3,146.02,-99.19,0.0,top
R4,150.6,-111.2,90.0,top
RESET,152.9,-103.7,90.0,top
U1,133.7625,-112.15,90.0,top
U2,149.1,-120.093749,270.0,top
U3,133.65,-104.05,270.0,top
U4,143.2,-112.8875,0.0,top
Y1,128.7,-113.15,0.0,top
Y2,147.089949,-106.237499,270.0,top
Y3,142.739949,-106.0875,90.0,top
